НТД.ID,НТД_1.ID,Дата_регистрации,Корреспондент,Часть_проекта,Ndog,Наименование документа,krat_neim,Obekt,Блок,Стадия_проекта,NAME,Шифр (обозначение документа),Инв_№разраб_пр
23652,23658,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Чертеж,43-208.207.003.ЭС01,138507э
23652,23659,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-208.207.003.ЭС01.С,138508э
23652,23660,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Задание заводу на оборудование,43-208.207.003.ЭС01.010000.ДО,138509с
23652,23661,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Таблица,43-208.207.003.ЭС01.010000.ТБ,138510с
23652,23662,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Задание заводу на оборудование,43-208.207.003.ЭС01.010000.ЛО,138511с
23652,23663,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Задание заводу на оборудование,43-208.207.002.АП02.000000.ДО,"140028п, изм.1"
23652,23664,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Общие виды,43-208.207.002.АП02.000000.ВО,140029п
23652,23665,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Таблица,43-208.207.002.АП01.010000.ТБ,140030п
23652,23666,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Схема электрическая,43-208.207.002.АП02.010000.Э3,140031п
23652,23667,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Схема электрическая,43-208.207.002.АП02.010000.Э5,140032п
23668,23670,21.06.2012,ОМиР,Э,,"Исполнительная документация по мероприятию МЕ11302 п.3.2.1.8: ""внедрение оборудования и методики проведения сиппинг-метода КГО в рабочей штанге перегрузочной машины в процессе транспортировки ТВС (с заменой одной гермопроходки на гермопроходку ""Элокс"")""",,РО,1,И,Исполнительная документация,,
23668,23671,21.06.2012,ОМиР,Э,,"Исполнительная документация по мероприятию МЕ11302 п.3.2.1.8: ""внедрение оборудования и методики проведения сиппинг-метода КГО в рабочей штанге перегрузочной машины в процессе транспортировки ТВС (с заменой одной гермопроходки на гермопроходку ""Элокс"")""",,РО,1,И,Чертеж,43-121.207.001.ЭС01,143192э
23669,23672,21.06.2012,ОМиР,К,,"Исполнительная документация по мероприятию п.2.1.1.2: ""Замена аппаратуры контроля радиационной безопасности с расширением функций в соответствии с требованиями НТД. Завершение 1 этапа. Блок №1. АСУП АСРК и СК (замена фильтросодержателей -78 шт.)""",,РО,1,И,Исполнительная документация,,
23669,23673,21.06.2012,ОМиР,К,,"Исполнительная документация по мероприятию п.2.1.1.2: ""Замена аппаратуры контроля радиационной безопасности с расширением функций в соответствии с требованиями НТД. Завершение 1 этапа. Блок №1. АСУП АСРК и СК (замена фильтросодержателей -78 шт.)""",,РО,1,И,Чертеж,43-671.209.001.РК01,142663к
23669,23674,21.06.2012,ОМиР,К,,"Исполнительная документация по мероприятию п.2.1.1.2: ""Замена аппаратуры контроля радиационной безопасности с расширением функций в соответствии с требованиями НТД. Завершение 1 этапа. Блок №1. АСУП АСРК и СК (замена фильтросодержателей -78 шт.)""",,РО,1,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-671.209.001.РК01.С,142664к
23675,23677,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Объединенный газовый корпус""",,ОГК,0,И,Исполнительная документация,,
23676,23678,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Исполнительная документация,,
23676,23679,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-06-БЗ,8066
23676,23680,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-06-БЗ-СО,8066
